order_id,customer_id,product_id,order_date,quantity,discount_pct,payment_mode
1016,19,17,2023-03-11,b'\x02\x00\x00\x00\x00\x00\x00\x00',b'\x00\x00\x00\x00\x00\x00\x00\x00',Debit Card
1017,5,10,2023-03-15,b'\x01\x00\x00\x00\x00\x00\x00\x00',b'\x14\x00\x00\x00\x00\x00\x00\x00',Net Banking
1018,9,8,2023-03-20,b'\x01\x00\x00\x00\x00\x00\x00\x00',b'\x00\x00\x00\x00\x00\x00\x00\x00',UPI
1019,23,5,2023-03-24,b'\x02\x00\x00\x00\x00\x00\x00\x00',b'\x0f\x00\x00\x00\x00\x00\x00\x00',UPI
1020,3,1,2023-03-29,b'\x01\x00\x00\x00\x00\x00\x00\x00',b'\x00\x00\x00\x00\x00\x00\x00\x00',Debit Card
1021,26,14,2023-04-03,b'\x01\x00\x00\x00\x00\x00\x00\x00',b'\x14\x00\x00\x00\x00\x00\x00\x00',Debit Card
1022,26,10,2023-04-07,b'\x01\x00\x00\x00\x00\x00\x00\x00',b'\x00\x00\x00\x00\x00\x00\x00\x00',UPI
1023,7,17,2023-04-12,b'\x01\x00\x00\x00\x00\x00\x00\x00',b'\x05\x00\x00\x00\x00\x00\x00\x00',Net Banking
1024,23,7,2023-04-16,b'\x01\x00\x00\x00\x00\x00\x00\x00',b'\x05\x00\x00\x00\x00\x00\x00\x00',EMI
1025,7,19,2023-04-21,b'\x01\x00\x00\x00\x00\x00\x00\x00',b'\x00\x00\x00\x00\x00\x00\x00\x00',Debit Card
1026,30,6,2023-04-26,b'\x01\x00\x00\x00\x00\x00\x00\x00',b'\x05\x00\x00\x00\x00\x00\x00\x00',Net Banking
1027,11,7,2023-04-30,b'\x02\x00\x00\x00\x00\x00\x00\x00',b'\x00\x00\x00\x00\x00\x00\x00\x00',UPI
1028,30,20,2023-05-05,b'\x01\x00\x00\x00\x00\x00\x00\x00',b'\x00\x00\x00\x00\x00\x00\x00\x00',UPI
1029,8,9,2023-05-10,b'\x01\x00\x00\x00\x00\x00\x00\x00',b'\x00\x00\x00\x00\x00\x00\x00\x00',UPI
1030,12,15,2023-05-14,b'\x01\x00\x00\x00\x00\x00\x00\x00',b'\x0f\x00\x00\x00\x00\x00\x00\x00',Debit Card
1031,17,17,2023-05-19,b'\x01\x00\x00\x00\x00\x00\x00\x00',b'\n\x00\x00\x00\x00\x00\x00\x00',Credit Card
1032,17,5,2023-05-23,b'\x01\x00\x00\x00\x00\x00\x00\x00',b'\x00\x00\x00\x00\x00\x00\x00\x00',UPI
1033,2,2,2023-05-28,b'\x01\x00\x00\x00\x00\x00\x00\x00',b'\n\x00\x00\x00\x00\x00\x00\x00',UPI
1034,1,1,2023-06-02,b'\x01\x00\x00\x00\x00\x00\x00\x00',b'\x00\x00\x00\x00\x00\x00\x00\x00',Credit Card
1035,26,6,2023-06-06,b'\x01\x00\x00\x00\x00\x00\x00\x00',b'\x05\x00\x00\x00\x00\x00\x00\x00',UPI
1036,24,17,2023-06-11,b'\x02\x00\x00\x00\x00\x00\x00\x00',b'\x0f\x00\x00\x00\x00\x00\x00\x00',Credit Card
1037,2,6,2023-06-15,b'\x01\x00\x00\x00\x00\x00\x00\x00',b'\x00\x00\x00\x00\x00\x00\x00\x00',UPI
1038,27,6,2023-06-20,b'\x01\x00\x00\x00\x00\x00\x00\x00',b'\x00\x00\x00\x00\x00\x00\x00\x00',Credit Card
1039,27,4,2023-06-25,b'\x01\x00\x00\x00\x00\x00\x00\x00',b'\x00\x00\x00\x00\x00\x00\x00\x00',Net Banking
1040,20,7,2023-06-29,b'\x01\x00\x00\x00\x00\x00\x00\x00',b'\x00\x00\x00\x00\x00\x00\x00\x00',Credit Card
1041,7,18,2023-07-04,b'\x02\x00\x00\x00\x00\x00\x00\x00',b'\x14\x00\x00\x00\x00\x00\x00\x00',UPI
1042,23,10,2023-07-08,b'\x01\x00\x00\x00\x00\x00\x00\x00',b'\x14\x00\x00\x00\x00\x00\x00\x00',Credit Card
1043,17,2,2023-07-13,b'\x03\x00\x00\x00\x00\x00\x00\x00',b'\x05\x00\x00\x00\x00\x00\x00\x00',Net Banking
1044,27,9,2023-07-18,b'\x01\x00\x00\x00\x00\x00\x00\x00',b'\x00\x00\x00\x00\x00\x00\x00\x00',Debit Card
1045,3,20,2023-07-22,b'\x02\x00\x00\x00\x00\x00\x00\x00',b'\x0f\x00\x00\x00\x00\x00\x00\x00',Net Banking
1046,20,11,2023-07-27,b'\x02\x00\x00\x00\x00\x00\x00\x00',b'\x05\x00\x00\x00\x00\x00\x00\x00',Net Banking
1047,20,3,2023-07-31,b'\x01\x00\x00\x00\x00\x00\x00\x00',b'\x14\x00\x00\x00\x00\x00\x00\x00',Debit Card
1048,29,18,2023-08-05,b'\x01\x00\x00\x00\x00\x00\x00\x00',b'\x00\x00\x00\x00\x00\x00\x00\x00',Credit Card
1049,3,16,2023-08-10,b'\x03\x00\x00\x00\x00\x00\x00\x00',b'\x05\x00\x00\x00\x00\x00\x00\x00',Debit Card
1050,1,14,2023-08-14,b'\x01\x00\x00\x00\x00\x00\x00\x00',b'\x05\x00\x00\x00\x00\x00\x00\x00',Credit Card
1051,8,7,2023-08-19,b'\x02\x00\x00\x00\x00\x00\x00\x00',b'\x00\x00\x00\x00\x00\x00\x00\x00',Credit Card
1052,27,19,2023-08-23,b'\x01\x00\x00\x00\x00\x00\x00\x00',b'\n\x00\x00\x00\x00\x00\x00\x00',UPI
1053,6,6,2023-08-28,b'\x01\x00\x00\x00\x00\x00\x00\x00',b'\n\x00\x00\x00\x00\x00\x00\x00',Net Banking
1054,27,2,2023-09-02,b'\x01\x00\x00\x00\x00\x00\x00\x00',b'\x00\x00\x00\x00\x00\x00\x00\x00',Credit Card
1055,1,5,2023-09-06,b'\x01\x00\x00\x00\x00\x00\x00\x00',b'\x00\x00\x00\x00\x00\x00\x00\x00',Credit Card
1056,17,17,2023-09-11,b'\x03\x00\x00\x00\x00\x00\x00\x00',b'\x05\x00\x00\x00\x00\x00\x00\x00',Net Banking
1057,28,9,2023-09-16,b'\x03\x00\x00\x00\x00\x00\x00\x00',b'\x00\x00\x00\x00\x00\x00\x00\x00',Credit Card
1058,3,1,2023-09-20,b'\x01\x00\x00\x00\x00\x00\x00\x00',b'\x05\x00\x00\x00\x00\x00\x00\x00',UPI
1059,1,3,2023-09-25,b'\x01\x00\x00\x00\x00\x00\x00\x00',b'\x14\x00\x00\x00\x00\x00\x00\x00',Credit Card
1060,22,3,2023-09-29,b'\x01\x00\x00\x00\x00\x00\x00\x00',b'\x0f\x00\x00\x00\x00\x00\x00\x00',UPI
1061,15,2,2023-10-04,b'\x01\x00\x00\x00\x00\x00\x00\x00',b'\x00\x00\x00\x00\x00\x00\x00\x00',UPI
1062,8,1,2023-10-09,b'\x01\x00\x00\x00\x00\x00\x00\x00',b'\n\x00\x00\x00\x00\x00\x00\x00',Credit Card
1063,29,10,2023-10-13,b'\x02\x00\x00\x00\x00\x00\x00\x00',b'\x00\x00\x00\x00\x00\x00\x00\x00',UPI
1064,24,13,2023-10-18,b'\x01\x00\x00\x00\x00\x00\x00\x00',b'\n\x00\x00\x00\x00\x00\x00\x00',Credit Card
1065,13,20,2023-10-22,b'\x01\x00\x00\x00\x00\x00\x00\x00',b'\x00\x00\x00\x00\x00\x00\x00\x00',UPI
1066,28,2,2023-10-27,b'\x01\x00\x00\x00\x00\x00\x00\x00',b'\n\x00\x00\x00\x00\x00\x00\x00',Debit Card
1067,19,17,2023-11-01,b'\x01\x00\x00\x00\x00\x00\x00\x00',b'\n\x00\x00\x00\x00\x00\x00\x00',UPI
1068,11,5,2023-11-05,b'\x01\x00\x00\x00\x00\x00\x00\x00',b'\x05\x00\x00\x00\x00\x00\x00\x00',UPI
1069,12,5,2023-11-10,b'\x01\x00\x00\x00\x00\x00\x00\x00',b'\n\x00\x00\x00\x00\x00\x00\x00',UPI
1070,20,15,2023-11-14,b'\x01\x00\x00\x00\x00\x00\x00\x00',b'\x0f\x00\x00\x00\x00\x00\x00\x00',Debit Card
1071,13,18,2023-11-19,b'\x01\x00\x00\x00\x00\x00\x00\x00',b'\x00\x00\x00\x00\x00\x00\x00\x00',Debit Card
1072,19,5,2023-11-24,b'\x01\x00\x00\x00\x00\x00\x00\x00',b'\n\x00\x00\x00\x00\x00\x00\x00',Credit Card
1073,12,1,2023-11-28,b'\x01\x00\x00\x00\x00\x00\x00\x00',b'\x00\x00\x00\x00\x00\x00\x00\x00',Credit Card
1074,30,16,2023-12-03,b'\x01\x00\x00\x00\x00\x00\x00\x00',b'\x05\x00\x00\x00\x00\x00\x00\x00',Debit Card
1075,29,7,2023-12-07,b'\x01\x00\x00\x00\x00\x00\x00\x00',b'\x05\x00\x00\x00\x00\x00\x00\x00',Debit Card
1076,23,3,2023-12-12,b'\x01\x00\x00\x00\x00\x00\x00\x00',b'\x00\x00\x00\x00\x00\x00\x00\x00',Debit Card
1077,25,14,2023-12-17,b'\x01\x00\x00\x00\x00\x00\x00\x00',b'\x00\x00\x00\x00\x00\x00\x00\x00',UPI
1078,30,20,2023-12-21,b'\x01\x00\x00\x00\x00\x00\x00\x00',b'\x05\x00\x00\x00\x00\x00\x00\x00',Credit Card
1079,1,5,2023-12-26,b'\x01\x00\x00\x00\x00\x00\x00\x00',b'\n\x00\x00\x00\x00\x00\x00\x00',Debit Card
1080,2,20,2023-12-31,b'\x01\x00\x00\x00\x00\x00\x00\x00',b'\x00\x00\x00\x00\x00\x00\x00\x00',Credit Card
